[2023-12-20 17:27:54,548: INFO: main: Welcome to our custom log]
[2023-12-20 17:31:00,219: INFO: main: Welcome to our custom log]
[2023-12-21 01:56:37,209: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-21 01:59:40,239: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-21 02:08:21,220: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-21 02:08:21,224: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-21 02:08:21,228: INFO: common: created directory at: artifacts]
[2023-12-21 02:08:21,230: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-21 02:08:21,234: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1bP8fOULCMPs3x8xOjuoG8TlNDQp7gT5U/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-21 02:08:35,747: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1bP8fOULCMPs3x8xOjuoG8TlNDQp7gT5U/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-21 02:34:00,698: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-12-21 02:34:00,698: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-21 02:34:00,698: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-21 02:34:00,698: INFO: common: created directory at: artifacts]
[2023-12-21 02:34:00,698: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-21 02:34:00,698: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1bP8fOULCMPs3x8xOjuoG8TlNDQp7gT5U/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-21 02:34:12,546: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1bP8fOULCMPs3x8xOjuoG8TlNDQp7gT5U/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-21 02:34:13,733: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
